year	day	meanValue	medianValue	hoMedian	meanDegree	medianDegree	addCount	txCount
2016	1	6.959679875078849E8	10000.0	4286.0	3.5941686129087813	1.0	262578	126626
2016	2	7.115028234152615E8	6000.0	4046.0	3.132268104084848	1.0	330278	147300
2016	3	6.107959466237264E8	15000.0	4848.0	3.194347762356263	1.0	345720	148506
2016	4	6.304551557959498E8	9000.0	6646.0	4.0691017175075	1.0	357762	185109
2016	5	7.594933744750453E8	14000.0	8750.0	3.930727846394351	1.0	336544	178575
2016	6	8.131110030692942E8	13000.0	9116.0	4.198789604841201	1.0	347101	184049
2016	7	7.761456547432859E8	12650.0	4930.0	3.9996021910097124	1.0	345271	186212
2016	8	6.124127607998291E8	10000.0	5358.0	3.7725088760643697	1.0	325062	174522
2016	9	5.0532728245148367E8	5500.0	8000.0	3.35016965247899	1.0	389572	176746
2016	10	8.022894059930546E8	10000.0	7046.0	4.504736206201928	1.0	374396	163886
2016	11	8.720011525888462E8	10000.0	12182.0	3.825125228547083	1.0	370665	196699
2016	12	7.048955996183351E8	12609.0	6034.0	3.9003882498130986	1.0	364591	195577
2016	13	7.158946136066651E8	13001.07	7490.0	4.580459121666597	1.0	348775	186201
2016	14	7.047106224489739E8	13292.479999999998	5972.0	4.1514001508581995	1.0	333394	174511
2016	15	9.60911424256696E8	10500.0	9722.0	3.97502883777843	1.0	382888	191212
2016	16	6.752025525600044E8	6000.0	4982.0	4.458154174926914	1.0	364797	187582
2016	17	4.728625751186172E9	6000.0	8524.0	6.353186743285756	1.0	479126	220777
2016	18	4.746620597985689E9	14000.0	4318.0	3.679893706046973	1.0	375907	198197
2016	19	4.618246397130712E9	14000.0	8148.0	9.414252820632708	1.0	389195	198646
2016	20	1.8238150953560977E9	11780.41	5284.0	3.8123182119713834	1.0	391939	207061
2016	21	2.332402895184281E9	10057.0	10212.0	3.8890064294052538	1.0	405295	221119
2016	22	5.4042697081858835E9	18000.0	9846.0	3.907985618724639	1.0	391201	207946
2016	23	2.4241675808881184E10	19000.05	4810.0	3.5673208019479508	1.0	388987	183204
2016	24	2.6597622931498413E10	6000.0	8736.0	3.313359956962735	1.0	437962	209254
2016	25	4.663899665221809E9	14000.0	9624.0	4.491652686330166	1.0	447495	232072
2016	26	5.030570138626561E9	19652.739999999998	10022.0	3.870145393267458	1.0	424318	229986
2016	27	6.680893294241348E9	19855.48	6362.0	4.00972743540523	1.0	430682	227747
2016	28	2.1356324079637637E9	14751.529999999999	10462.0	3.8518936385056226	1.0	437192	226278
2016	29	2.91376149777052E9	17764.800000000003	11096.0	3.448575150305776	1.0	417106	219718
2016	30	1.635389123853092E9	16226.340000000002	7702.0	3.4550530744852517	1.0	384570	182467
2016	31	1.6396961322256806E9	6000.0	9744.0	3.3561298582807337	1.0	421960	187040
2016	32	2.0918547737411134E9	21000.0	7866.0	3.1062318124708588	1.0	466525	242078
2016	33	1.2939228014825435E9	17502.1	13284.0	3.6995373186897003	1.0	432046	222283
2016	34	8.671131252895222E8	14829.985	10082.0	3.6207447859031467	1.0	370383	187450
2016	35	1.4527070257720537E9	21996.295	10552.0	3.6691330272926774	1.0	397318	210580
2016	36	1.5075685981576905E9	20583.18	12276.0	3.4827205854578023	1.0	419455	224505
2016	37	1.3806995030090706E9	23324.0	9712.0	3.1650343556228147	1.0	427974	221503
2016	38	1.3613622367661421E9	6000.0	9128.0	2.7597193090979837	1.0	435726	207940
2016	39	1.1236238491024852E9	11829.9	10090.0	3.782898458806522	1.0	426130	233394
2016	40	9.153708164133632E8	20853.845	4472.0	3.349471785551967	1.0	413229	239412
2016	41	1.2212673087540238E9	14000.0	11622.0	3.957155087008706	1.0	414919	225885
2016	42	1.2302156843199806E9	14996.425000000001	5784.0	3.5905430401528164	1.0	415676	217856
2016	43	1.3448950841823864E9	18647.4	2.0	4.9372971458845365	1.0	376216	189939
2016	44	1.4009625460405025E9	19096.355	9552.0	3.7901505123978967	1.0	392990	185862
2016	45	1.59642005654056E9	6000.0	10038.0	3.6665194199674835	1.0	414976	193225
2016	46	1.7969636675308707E9	16000.0	10738.0	3.6742008268881947	1.0	425696	225424
2016	47	1.7595430012198987E9	14000.0	4296.0	3.6286883944569093	1.0	409654	217618
2016	48	1.7550750899076402E9	14000.0	10170.0	4.373406905378014	1.0	443478	221657
2016	49	1.8436619306775675E9	11134.44	10606.0	4.092144404762374	1.0	419483	217072
2016	50	2.2497417690578337E9	13557.224999999999	2866.0	3.8016706437585843	1.0	421653	218744
2016	51	1.868450266661681E9	9000.0	8744.0	4.166779935085297	1.0	379596	205112
2016	52	2.1391902965721388E9	13000.0	8400.0	3.380209226940345	1.0	457303	214491
2016	53	1.6870242775455697E9	20000.0	12856.0	3.6952889075208	1.0	466058	241901
2016	54	1.6453639598259618E9	14000.0	10298.0	3.6853005521943154	1.0	449451	246494
2016	55	1.5289010563198144E9	10000.0	8752.0	4.157475716218135	1.0	411263	222563
2016	56	1.5139999616597192E9	14000.0	10918.0	3.3656582808293467	1.0	380789	209130
2016	57	1.4994032887481482E9	20000.0	7062.0	4.086800723920387	1.0	404489	196336
2016	58	1.616875666986977E9	14471.234999999999	3680.0	4.036692336077516	1.0	375118	187158
2016	59	3.6278485092443514E9	29902.21	3394.0	3.0508189297307116	1.0	450986	256445
2016	60	4.0264827180901537E9	27279.01	9204.0	3.1099545992023465	1.0	474569	262890
2016	61	3.5917541860789623E9	15000.0	4812.0	3.0163667409128108	1.0	476546	283075
2016	62	2.036054092705972E9	30242.13	7902.0	3.851291949216625	1.0	437371	248326
2016	63	1.421250446399639E9	12490.0	4712.0	4.317600391265554	1.0	438661	216316
2016	64	5.907824124304792E9	13230.0	6082.0	4.740135290698687	1.0	390329	214560
2016	65	6.500554830773079E9	15697.16	4798.0	4.182748634850404	1.0	392989	221635
2016	66	1.2587559104607103E9	12084.4	1678.0	4.248599913465628	1.0	338430	158735
2016	67	1.4767415499870377E9	13000.0	4904.0	4.050658267593846	1.0	345226	192928
